0;1;watt2,0,Left;watt4,0
0;2;watt2,1,Left;watt4,0
0;3;watt2,2,Left;watt4,0
3;4;watt1,0,Bottom;watt4,0;watt2,2,Left
3;5;watt1,1,Bottom;watt4,0;watt2,2,Left
3;6;watt1,2,Bottom;watt4,0;watt2,2,Left
3;7;watt1,3,Bottom;watt4,0;watt2,2,Left
3;8;watt1,4,Bottom;watt4,0;watt2,2,Left
3;9;watt1,5,Bottom;watt4,0;watt2,2,Left
3;10;watt1,6,Bottom;watt4,0;watt2,2,Left
3;11;watt1,7,Bottom;watt4,0;watt2,2,Left
3;12;watt1,0,Right;watt4,0;watt2,2,Left
3;13;watt1,1,Right;watt4,0;watt2,2,Left
3;14;watt1,2,Right;watt4,0;watt2,2,Left
14;33;watt5,2,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;34;watt5,3,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;35;watt5,4,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;36;watt5,5,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;37;watt5,6,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;38;watt5,7,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;39;watt0,0,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;40;watt0,1,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;41;watt0,2,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;42;watt0,3,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;43;watt0,4,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;44;watt0,5,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;45;watt0,6,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;46;watt0,7,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;47;watt0,0,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;48;watt0,1,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;49;watt0,2,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;50;watt0,3,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;51;watt0,4,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;52;watt0,5,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;53;watt0,6,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;54;watt0,7,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;55;watt0,0,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;56;watt0,1,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;57;watt0,2,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;58;watt0,3,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;59;watt0,4,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;60;watt0,5,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;61;watt0,6,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;62;watt0,7,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;63;watt3,0,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;64;watt3,1,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;65;watt3,2,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;66;watt3,3,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;67;watt3,4,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;68;watt3,5,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;69;watt3,6,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;70;watt3,7,Bottom;watt4,0;watt2,2,Left;watt1,2,Right
14;71;watt3,0,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;72;watt3,1,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;73;watt3,2,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;74;watt3,3,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;75;watt3,4,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;76;watt3,5,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;77;watt3,6,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;78;watt3,7,Top;watt4,0;watt2,2,Left;watt1,2,Right
14;79;watt3,0,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;80;watt3,1,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;81;watt3,2,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;82;watt3,3,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;83;watt3,4,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;84;watt3,5,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;85;watt3,6,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
14;86;watt3,7,Parallel;watt4,0;watt2,2,Left;watt1,2,Right
86;87;watt1,3,Bottom;watt4,0;watt2,2,Left
86;88;watt1,4,Bottom;watt4,0;watt2,2,Left
86;89;watt1,5,Bottom;watt4,0;watt2,2,Left
86;90;watt1,6,Bottom;watt4,0;watt2,2,Left
86;91;watt1,7,Bottom;watt4,0;watt2,2,Left
86;92;watt1,3,Right;watt4,0;watt2,2,Left
92;93;watt5,0,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;94;watt5,1,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;95;watt5,2,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;96;watt5,3,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;97;watt5,4,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;98;watt5,5,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;99;watt5,6,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;100;watt5,7,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;101;watt5,0,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;102;watt5,1,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;103;watt5,2,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;104;watt5,3,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;105;watt5,4,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;106;watt5,5,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;107;watt5,6,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;108;watt5,7,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;109;watt5,0,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;110;watt5,1,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;111;watt5,2,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;112;watt5,3,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;113;watt5,4,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;114;watt5,5,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;115;watt5,6,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;116;watt5,7,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;117;watt0,0,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;118;watt0,1,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;119;watt0,2,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;120;watt0,3,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;121;watt0,4,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;122;watt0,5,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;123;watt0,6,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;124;watt0,7,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;125;watt0,0,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;126;watt0,1,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;127;watt0,2,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;128;watt0,3,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;129;watt0,4,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;130;watt0,5,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;131;watt0,6,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;132;watt0,7,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;133;watt0,0,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;134;watt0,1,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;135;watt0,2,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;136;watt0,3,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;137;watt0,4,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;138;watt0,5,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;139;watt0,6,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;140;watt0,7,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;141;watt3,0,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;142;watt3,1,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;143;watt3,2,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;144;watt3,3,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;145;watt3,4,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;146;watt3,5,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;147;watt3,6,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;148;watt3,7,Bottom;watt4,0;watt2,2,Left;watt1,3,Right
92;149;watt3,0,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;150;watt3,1,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;151;watt3,2,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;152;watt3,3,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;153;watt3,4,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;154;watt3,5,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;155;watt3,6,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;156;watt3,7,Top;watt4,0;watt2,2,Left;watt1,3,Right
92;157;watt3,0,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;158;watt3,1,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;159;watt3,2,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;160;watt3,3,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;161;watt3,4,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;162;watt3,5,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;163;watt3,6,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
92;164;watt3,7,Parallel;watt4,0;watt2,2,Left;watt1,3,Right
164;165;watt1,4,Bottom;watt4,0;watt2,2,Left
164;166;watt1,5,Bottom;watt4,0;watt2,2,Left
164;167;watt1,6,Bottom;watt4,0;watt2,2,Left
164;168;watt1,7,Bottom;watt4,0;watt2,2,Left
164;169;watt1,4,Right;watt4,0;watt2,2,Left
164;170;watt1,5,Right;watt4,0;watt2,2,Left
164;171;watt1,6,Right;watt4,0;watt2,2,Left
171;172;watt5,0,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;173;watt5,1,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;174;watt5,2,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;175;watt5,3,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;176;watt5,4,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;177;watt5,5,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;178;watt5,6,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;179;watt5,7,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;180;watt5,0,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;181;watt5,1,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;182;watt5,2,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;183;watt5,3,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;184;watt5,4,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;185;watt5,5,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;186;watt5,6,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;187;watt5,7,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;188;watt5,0,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;189;watt5,1,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;190;watt5,2,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;191;watt5,3,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;192;watt5,4,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;193;watt5,5,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;194;watt5,6,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;195;watt5,7,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;196;watt0,0,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;197;watt0,1,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;198;watt0,2,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;199;watt0,3,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;200;watt0,4,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;201;watt0,5,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;202;watt0,6,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;203;watt0,7,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;204;watt0,0,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;205;watt0,1,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;206;watt0,2,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;207;watt0,3,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;208;watt0,4,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;209;watt0,5,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;210;watt0,6,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;211;watt0,7,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;212;watt0,0,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;213;watt0,1,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;214;watt0,2,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;215;watt0,3,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;216;watt0,4,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;217;watt0,5,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;218;watt0,6,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;219;watt0,7,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;220;watt3,0,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;221;watt3,1,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;222;watt3,2,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;223;watt3,3,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;224;watt3,4,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;225;watt3,5,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;226;watt3,6,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;227;watt3,7,Bottom;watt4,0;watt2,2,Left;watt1,6,Right
171;228;watt3,0,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;229;watt3,1,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;230;watt3,2,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;231;watt3,3,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;232;watt3,4,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;233;watt3,5,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;234;watt3,6,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;235;watt3,7,Top;watt4,0;watt2,2,Left;watt1,6,Right
171;236;watt3,0,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;237;watt3,1,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;238;watt3,2,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;239;watt3,3,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;240;watt3,4,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;241;watt3,5,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;242;watt3,6,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
171;243;watt3,7,Parallel;watt4,0;watt2,2,Left;watt1,6,Right
243;244;watt1,7,Bottom;watt4,0;watt2,2,Left
243;245;watt1,7,Right;watt4,0;watt2,2,Left
243;246;watt1,7,Top;watt4,0;watt2,2,Left
243;247;watt1,7,Parallel;watt4,0;watt2,2,Left
243;248;watt5,0,Bottom;watt4,0;watt2,2,Left
243;249;watt5,1,Bottom;watt4,0;watt2,2,Left
243;250;watt5,2,Bottom;watt4,0;watt2,2,Left
243;251;watt5,3,Bottom;watt4,0;watt2,2,Left
243;252;watt5,4,Bottom;watt4,0;watt2,2,Left
243;253;watt5,5,Bottom;watt4,0;watt2,2,Left
243;254;watt5,6,Bottom;watt4,0;watt2,2,Left
243;255;watt5,7,Bottom;watt4,0;watt2,2,Left
243;256;watt5,0,Right;watt4,0;watt2,2,Left
256;257;watt1,7,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
256;258;watt1,7,Top;watt4,0;watt2,2,Left;watt5,0,Right
256;259;watt1,7,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
256;260;watt0,0,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
260;261;watt1,7,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;262;watt1,7,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;263;watt3,0,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;264;watt3,1,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;265;watt3,2,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;266;watt3,3,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;267;watt3,4,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;268;watt3,5,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;269;watt3,6,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;270;watt3,7,Top;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;271;watt3,0,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;272;watt3,1,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;273;watt3,2,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;274;watt3,3,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;275;watt3,4,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;276;watt3,5,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;277;watt3,6,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
260;278;watt3,7,Parallel;watt4,0;watt2,2,Left;watt0,0,Bottom;watt5,0,Right
278;279;watt0,1,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;280;watt0,2,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;281;watt0,3,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;282;watt0,4,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;283;watt0,5,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;284;watt0,6,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;285;watt0,7,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;286;watt0,1,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;287;watt0,2,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;288;watt0,3,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;289;watt0,4,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;290;watt0,5,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;291;watt0,6,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;292;watt0,7,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;293;watt0,1,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;294;watt0,2,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;295;watt0,3,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;296;watt0,4,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;297;watt0,5,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;298;watt0,6,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;299;watt0,7,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;300;watt1,7,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;301;watt1,7,Top;watt4,0;watt2,2,Left;watt5,0,Right
278;302;watt1,7,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
278;303;watt3,0,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;304;watt3,1,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
278;305;watt3,2,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
305;306;watt0,1,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;307;watt0,2,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;308;watt0,3,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;309;watt0,4,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;310;watt0,5,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;311;watt0,6,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;312;watt0,7,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;313;watt0,1,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;314;watt0,2,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;315;watt0,3,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;316;watt0,4,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;317;watt0,5,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;318;watt0,6,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;319;watt0,7,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;320;watt1,7,Top;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
305;321;watt1,7,Parallel;watt4,0;watt2,2,Left;watt3,2,Bottom;watt5,0,Right
321;322;watt3,3,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;323;watt3,4,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;324;watt3,5,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;325;watt3,6,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;326;watt3,7,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;327;watt3,3,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;328;watt3,4,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;329;watt3,5,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;330;watt3,6,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;331;watt3,7,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;332;watt3,3,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;333;watt3,4,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;334;watt3,5,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;335;watt3,6,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;336;watt3,7,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;337;watt0,1,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;338;watt0,2,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;339;watt0,3,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;340;watt0,4,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;341;watt0,5,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;342;watt0,6,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;343;watt0,7,Bottom;watt4,0;watt2,2,Left;watt5,0,Right
321;344;watt0,1,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;345;watt0,2,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;346;watt0,3,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;347;watt0,4,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;348;watt0,5,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;349;watt0,6,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;350;watt0,7,Top;watt4,0;watt2,2,Left;watt5,0,Right
321;351;watt0,1,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;352;watt0,2,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;353;watt0,3,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;354;watt0,4,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
321;355;watt0,5,Parallel;watt4,0;watt2,2,Left;watt5,0,Right
